price,name,desc
"€ 579,16",Apple iPhone 5 16GB Black,"iOS, Apple A6, 4 inch, 1136x640, 8 MPixel, 112 gram"
"€ 865,98",Apple iPhone 6 64GB Silver,"iOS, Apple A8, 4.7 inch, 1334x750, 8 MPixel, 129 gram"
"€ 528,42",Huawei Ascend Mate 7 Silver,"Android, Hisilicon Kirin 925, 6 inch, 1920x1080, 13 MPixel, 185 gram"
"€ 501,15",Sony Xperia Z3 Compact Green,"Android, Qualcomm Snapdragon 801 (8974AC), 4.6 inch, 1280x720, 20.7 MPixel, 129 gram"
,Apple iPhone 4 8GB White,"iOS, 3.5 inch, 960x640, 5 MPixel, 137 gram"
"€ 957,67",Apple iPhone 6 Plus 64GB Grey,"iOS, Apple A8, 5.5 inch, 1920x1080, 8 MPixel, 172 gram"
"€ 604,88",HTC One (M8) Red,"Android, Qualcomm Snapdragon 801 (8974AB), 5 inch, 1920x1080, 4.1 MPixel, 160 gram"
"€ 404,07",Samsung Galaxy S4 Value Edition Black,"Android, Qualcomm Snapdragon 600, 5 inch, 1920x1080, 13 MPixel, 130 gram"
"€ 309,12",Sony Xperia Z Ultra Purple,"Android, Qualcomm Snapdragon 800 (8974), 6.4 inch, 1920x1080, 8 MPixel, 220 gram"
"€ 629,92",Sony Xperia Z3 Bronze,"Android, Qualcomm Snapdragon 801 (8974AC), 5.2 inch, 1920x1080, 20.7 MPixel, 152 gram"
"€ 314,55",HTC Desire 601 White,"Android, Qualcomm Snapdragon 400 (8930AB), 4.5 inch, 960x540, 5 MPixel, 130 gram"
"€ 533,32",Huawei Ascend Mate 7 Black,"Android, Hisilicon Kirin 925, 6.1 inch, 1920x1080, 13 MPixel, 185 gram"
"€ 204,91",Nokia Lumia 625 Black,"Windows Phone, Qualcomm Snapdragon 400 (8930), 4.7 inch, 800x480, 5 MPixel, 159 gram"
"€ 481,35",Apple iPhone 4S 16GB Black,"iOS, Apple A5, 3.5 inch, 960x640, 8 MPixel, 140 gram"
"€ 428,16",BlackBerry 9900 Bold Charcoal,"BlackBerry OS, Qualcomm Snapdragon S2 (MSM8255T), 2.8 inch, 640x480, 5 MPixel, 130 gram"
"€ 189,69",LG L90 Black,"Android, Qualcomm Snapdragon 400, 4.7 inch, 960x540, 8 MPixel, 126 gram"
"€ 224,80",Samsung Galaxy S III Neo Blue,"Android, 4.8 inch, 1280x720, 8 MPixel, 132 gram"
"€ 140,88",Sony Xperia M Black,"Android, 4 inch, 854x480, 5 MPixel, 115 gram"
